date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20100104,0,-4,-5,-2.33571428571429,-1.1,-7.2
20100105,1,-4,-3,-3,-1.1,-6.7
20100106,2,-1,-1,-3,1.1,-3.3
20100107,0,1,-1,-3,2.8,-1.1
20100108,6,-2,-2,-3,0.6,-5
20100109,0,-4,-4,-3,-1.1,-7.8
20100110,0,-6,-5,-3,-2.2,-10.00000000000000
20100111,0,-3,-4,-2,-0.6,-6.1
20100112,0,-1,-2,-1.21428571428571,1.7,-4.4
20100113,0,-1,0,0.328571428571428,1.7,-4.4
20100114,0,2,2.25,1.87857142857143,5.6,-1.1
20100115,0,5.85,4.81666666666667,3.27142857142857,10.00000000000000,1.7
20100116,0,6.35,5.65,4.41428571428571,9.4,3.3
20100117,5,4.75,5.83333333333333,5.04285714285714,7.8,1.7
20100118,3,6.4,5.93333333333333,5.03571428571429,10.00000000000000,2.8
20100119,2,6.65,5.36666666666667,4.67857142857143,8.9,4.4
20100120,0,3.05,3.96666666666667,3.92857142857143,5,1.1
20100121,0,2,2.86666666666667,3.96428571428571,5,-0.6
20100122,0,3.35,2.21666666666667,4.71428571428571,6.7,0
20100123,0,1,3.15,4.55714285714286,4.4,-2.2
20100124,4,5,5.91666666666667,4.35714285714286,10.00000000000000,0
20100125,5,11.65,7.4,3.96428571428571,13.90000000000000,9.4
20100126,2,5.55,6.28333333333333,2.49285714285714,9.4,1.7
20100127,0,2,2.21666666666667,1.1,3.9,-0.6
20100128,6,-1,-2,-0.407142857142857,5.6,-6.7
20100129,0,-7,-5,-2.22857142857143,-5,-8.9
20100130,0,-9,-7,-3,-6.7,-10.60000000000000
20100131,0,-6,-5,-3,-1.1,-10.00000000000000
20100201,0,-1,-3,-3,1.7,-3.9
20100202,5,-1,0,-2,0.6,-2.8
20100203,5,1,0,-1,3.9,-1.7
20100204,0,0,1,-1,2.8,-2.2
20100205,0,0,-1,-1,2.2,-1.7
20100206,3,-3,-2,-1,0.6,-6.7
20100207,0,-4,-3,-1,1.1,-8.3
20100208,0,-1,-1,-1,2.8,-5
20100209,3,2,0,-1,5.6,-2.2
20100210,6,0,1,-1,1.1,-1.1
20100211,0,0,0,0,2.8,-2.2
20100212,0,0,-1,0,2.8,-3.3
20100213,0,-2,-1,0,0,-4.4
20100214,0,1,0,0,3.9,-2.2
20100215,5,1,0,0.00714285714285712,4.4,-2.8
20100216,7,-1,0,0.6,0.6,-1.7
20100217,0,-1,0.283333333333333,1.51428571428571,1.7,-3.3
20100218,0,2.2,1.76666666666667,1.99285714285714,4.4,0
20100219,0,3.9,3.43333333333333,2.27142857142857,6.1,1.7
20100220,0,4.2,4.1,2.70714285714286,6.7,1.7
20100221,0,4.2,3.71666666666667,3.37857142857143,7.8,0.6
20100222,2,3,3.15,3.1,7.2,-1.7
20100223,5,2.5,3.05,2.35,3.3,1.7
20100224,5,3.9,2.21666666666667,1.86428571428571,5.6,2.2
20100225,6,0,0.933333333333333,1.62142857142857,3.3,-2.8
20100226,6,-1,0,2.02142857142857,0.6,-3.3
20100227,4,1,0.65,2.41428571428571,3.3,-1.7
