date,7DayAverage,HighAverage,LowAverage
20100107,-3,-0.1,-5.9
20100108,-3,-0.1,-5.7
20100109,-3,0.3,-5.4
20100110,-3,0.4,-5.5
20100111,-2,0.8,-5.5
20100112,-1.21428571428571,2.2,-4.6
20100113,0.328571428571428,3.7,-3
20100114,1.87857142857143,5.1,-1.3
20100115,3.27142857142857,6.6,-0.1
20100116,4.41428571428571,7.6,1.2
20100117,5.04285714285714,8.1,2
20100118,5.03571428571429,8,2.1
20100119,4.67857142857143,7.5,1.8
20100120,3.92857142857143,6.8,1
20100121,3.96428571428571,7.1,0.8
20100122,4.71428571428571,7.7,1.7
20100123,4.55714285714286,7.8,1.3
20100124,4.35714285714286,7.6,1.1
20100125,3.96428571428571,7.7,0.2
20100126,2.49285714285714,6,-1
20100127,1.1,4.4,-2.2
20100128,-0.407142857142857,2.9,-3.7
20100129,-2.22857142857143,1.1,-5.6
20100130,-3,-0.1,-6.2
20100131,-3,-0.1,-6.4
20100201,-3,-0.5,-5.7
20100202,-2,0.5,-4.7
20100203,-1,1.5,-4.1
20100204,-1,1.8,-3.9
20100205,-1,2,-4.1
20100206,-1,2.7,-4
20100207,-1,2.3,-3.9
20100208,-1,2.3,-3.9
20100209,-1,2.4,-4.1
20100210,-1,2.3,-3.8
20100211,0,2.7,-2.9
20100212,0,2.9,-2.6
20100213,0,2.2,-2.5
20100214,0,2.3,-2.8
20100215,0.00714285714285712,2.5,-2.5
20100216,0.6,3,-1.8
20100217,1.51428571428571,4,-0.9
20100218,1.99285714285714,4.5,-0.5
20100219,2.27142857142857,4.9,-0.4
20100220,2.70714285714286,5.3,0.1
20100221,3.37857142857143,5.9,0.9
20100222,3.1,5.7,0.5
20100223,2.35,4.9,-0.2
20100224,1.86428571428571,4.4,-0.7
20100225,1.62142857142857,4,-0.7
20100226,2.02142857142857,4.2,-0.2
20100227,2.41428571428571,4.9,-0.1
20100228,2.29285714285714,4.8,-0.2
20100301,2.97142857142857,5.5,0.4
20100302,3.91428571428571,6.8,1
20100303,4.67142857142857,8.1,1.3
20100304,5.50714285714286,9.4,1.6
20100305,6.22142857142857,10.5,2
20100306,7.1,11.6,2.6
20100307,8.13571428571429,12.8,3.4
20100308,8.65714285714286,13.3,4
20100309,8.62142857142857,12.9,4.4
20100310,8.54285714285714,12.2,4.9
20100311,8.5,11.7,5.3
20100312,7.90714285714286,10.5,5.3
20100313,7.86428571428571,10.6,5.1
20100314,8.17857142857143,11.4,5
20100315,9.12857142857143,12.6,5.6
20100316,10.6714285714286,14.9,6.4
20100317,12.4142857142857,17.1,7.7
20100318,13.2928571428571,18.3,8.3
20100319,14.0857142857143,19.1,9
20100320,13.85,18.3,9.4
20100321,13.6142857142857,17.9,9.4
20100322,13.2571428571429,17.3,9.2
20100323,11.8714285714286,15.7,8
20100324,9.69285714285714,13.4,6
20100325,8.49285714285714,12.2,4.8
20100326,8.25714285714286,11.8,4.7
20100327,7.97857142857143,11.6,4.4
20100328,7.93571428571429,11.4,4.5
20100329,8.25,12,4.5
20100330,9.44285714285714,13.3,5.6
20100331,11.0642857142857,15.1,7.1
20100401,12.5714285714286,17.2,7.9
20100402,13.7571428571429,19,8.6
20100403,15.5428571428571,21.2,9.9
20100404,17.3642857142857,24,10.8
20100405,18.4,24.8,12
20100406,18.2428571428571,24.8,11.7
20100407,17.8571428571429,24.4,11.3
20100408,18.0571428571429,24.4,11.7
20100409,17.5785714285714,23.7,11.4
20100410,16.2642857142857,22,10.6
20100411,14.8357142857143,20,9.7
20100412,14,19.4,8.6
20100413,13.6428571428571,18.6,8.7
20100414,13.4785714285714,17.9,9
20100415,12.3357142857143,16.4,8.3
20100416,11.9428571428571,16.1,7.8
20100417,12.5,17.2,7.8
20100418,12.9071428571429,17.4,8.4
20100419,12.9071428571429,17.3,8.5
20100420,13.2642857142857,18.2,8.4
20100421,13.8214285714286,19.3,8.4
20100422,13.7785714285714,18.9,8.7
20100423,13.4642857142857,18.1,8.8
20100424,12.75,17.1,8.4
20100425,11.7071428571429,16.1,7.3
20100426,11.35,15.9,6.8
20100427,12.2214285714286,16.7,7.8
20100428,13.6071428571429,18,9.2
20100429,15.8285714285714,20.9,10.8
20100430,17.65,23,12.3
20100501,19.4,24.8,14
20100502,21.0714285714286,26.8,15.4
20100503,21.9857142857143,27.5,16.5
20100504,21.6285714285714,27.1,16.2
20100505,20.6714285714286,26.4,15
20100506,18.3714285714286,23.5,13.2
20100507,16.5857142857143,22,11.2
20100508,14.8357142857143,20,9.7
20100509,13.0142857142857,17.5,8.6
20100510,11.9357142857143,16.6,7.3
20100511,12.3357142857143,17.1,7.5
20100512,12.6642857142857,16.9,8.4
20100513,13.85,18.5,9.2
20100514,14.9214285714286,19.5,10.3
20100515,15.4428571428571,20,10.9
20100516,16.3142857142857,21.3,11.4
