DATE,TMAX,TMIN,Ice Fog,Hail,Fog,MIst,Rain,Smoke,Snow,BadWeather,Average,3DayAverage,7DayAverage,3HighAve,3LowAve,Cold,Rain,FogMist
20100104,-11,-72,0,0,0,0,0,0,0,0,-4,-5,-2.33571428571429,-26,-74,0,0,0
20100105,-11,-67,0,0,0,0,0,0,1,1,-4,-3,-3,-4,-57,1,0,0
20100106,11,-33,0,0,0,0,1,0,1,2,-1,-1,-3,9,-37,1,1,0
20100107,28,-11,0,0,0,0,0,0,0,0,1,-1,-3,15,-31,0,0,0
20100108,6,-50,1,0,0,1,1,1,1,6,-2,-2,-3,8,-46,2,1,2
20100109,-11,-78,0,0,0,0,0,0,0,0,-4,-4,-3,-9,-76,0,0,0
20100110,-22,-100,0,0,0,0,0,0,0,0,-6,-5,-3,-13,-80,0,0,0
20100111,-6,-61,0,0,0,0,0,0,0,0,-3,-4,-2,-4,-68,0,0,0
20100112,17,-44,0,0,0,0,0,0,0,0,-1,-2,-1.21428571428571,9,-50,0,0,0
20100113,17,-44,0,0,0,0,0,0,0,0,-1,0,0.328571428571428,30,-33,0,0,0
20100114,56,-11,0,0,0,0,0,0,0,0,2,2.25,1.87857142857143,57.6666666666667,-13,0,0,0
20100115,100,17,0,0,0,0,0,0,0,0,5.85,4.81666666666667,3.27142857142857,83.3333333333333,13,0,0,0
20100116,94,33,0,0,0,0,0,0,0,0,6.35,5.65,4.41428571428571,90.6666666666667,22.3333333333333,0,0,0
20100117,78,17,1,1,0,1,1,0,0,5,4.75,5.83333333333333,5.04285714285714,90.6666666666667,26,2,1,1
20100118,100,28,1,0,0,1,1,0,0,3,6.4,5.93333333333333,5.03571428571429,89,29.6666666666667,1,1,1
20100119,89,44,0,0,0,0,1,1,0,2,6.65,5.36666666666667,4.67857142857143,79.6666666666667,27.6666666666667,0,1,1
20100120,50,11,0,0,0,0,0,0,0,0,3.05,3.96666666666667,3.92857142857143,63,16,0,0,0
20100121,50,-6,0,0,0,0,0,0,0,0,2,2.86666666666667,3.96428571428571,55.6666666666667,2,0,0,0
20100122,67,0,0,0,0,0,0,0,0,0,3.35,2.21666666666667,4.71428571428571,53.6666666666667,-9,0,0,0
20100123,44,-22,0,0,0,0,0,0,0,0,1,3.15,4.55714285714286,70.3333333333333,-7,0,0,0
20100124,100,0,1,0,0,1,1,1,0,4,5,5.91666666666667,4.35714285714286,94.3333333333333,24,1,1,2
20100125,139,94,1,1,1,1,1,0,0,5,11.65,7.4,3.96428571428571,111,37,2,1,2
20100126,94,17,0,1,0,0,1,0,0,2,5.55,6.28333333333333,2.49285714285714,90.6666666666667,35,1,1,0
20100127,39,-6,0,0,0,0,0,0,0,0,2,2.21666666666667,1.1,63,-18.6666666666667,0,0,0
20100128,56,-67,1,0,1,0,1,0,1,6,-1,-2,-0.407142857142857,15,-54,2,1,1
20100129,-50,-89,0,0,0,0,0,0,0,0,-7,-5,-2.22857142857143,-20.3333333333333,-87,0,0,0
20100130,-67,-106,0,0,0,0,0,0,0,0,-9,-7,-3,-43,-98,0,0,0
20100131,-11,-100,0,0,0,0,0,0,0,0,-6,-5,-3,-20,-82,0,0,0
20100201,17,-39,0,0,0,0,0,0,0,0,-1,-3,-3,4,-56,0,0,0
20100202,6,-28,1,0,0,1,1,1,1,5,-1,0,-2,20.6666666666667,-28,2,1,2
20100203,39,-17,1,0,0,1,1,1,1,5,1,0,-1,24.3333333333333,-22,2,1,2
20100204,28,-22,0,0,0,0,0,0,0,0,0,1,-1,29.6666666666667,-19,0,0,0
20100205,22,-17,0,0,0,0,0,0,0,0,0,-1,-1,18.6666666666667,-35,0,0,0
20100206,6,-67,0,0,0,0,1,1,1,3,-3,-2,-1,13,-56,1,1,1
20100207,11,-83,0,0,0,0,0,0,0,0,-4,-3,-1,15,-67,0,0,0
20100208,28,-50,0,0,0,0,0,0,0,0,-1,-1,-1,31.6666666666667,-52,0,0,0
20100209,56,-22,0,0,0,0,1,1,1,3,2,0,-1,31.6666666666667,-28,1,1,1
20100210,11,-11,1,0,1,0,1,0,1,6,0,1,-1,31.6666666666667,-18,2,1,1
20100211,28,-22,0,0,0,0,0,0,0,0,0,0,0,22.3333333333333,-22,0,0,0
20100212,28,-33,0,0,0,0,0,0,0,0,0,-1,0,18.6666666666667,-33,0,0,0
20100213,0,-44,0,0,0,0,0,0,0,0,-2,-1,0,22.3333333333333,-33,0,0,0
20100214,39,-22,0,0,0,0,0,0,0,0,1,0,0,27.6666666666667,-31,0,0,0
20100215,44,-28,1,0,0,1,1,1,1,5,1,0,0.00714285714285712,29.6666666666667,-22,2,1,2
20100216,6,-17,1,0,1,1,1,1,1,7,-1,0,0.6,22.3333333333333,-26,2,1,3
20100217,17,-33,0,0,0,0,0,0,0,0,-1,0.283333333333333,1.51428571428571,22.3333333333333,-17,0,0,0
20100218,44,0,0,0,0,0,0,0,0,0,2.2,1.76666666666667,1.99285714285714,40.6666666666667,-5,0,0,0
20100219,61,17,0,0,0,0,0,0,0,0,3.9,3.43333333333333,2.27142857142857,57.3333333333333,11.3333333333333,0,0,0
20100220,67,17,0,0,0,0,0,0,0,0,4.2,4.1,2.70714285714286,68.6666666666667,13.3333333333333,0,0,0
20100221,78,6,0,0,0,0,0,0,0,0,4.2,3.71666666666667,3.37857142857143,72.3333333333333,2,0,0,0
20100222,72,-17,0,0,0,0,1,0,0,2,3,3.15,3.1,61,2,0,1,0
20100223,33,17,1,1,0,1,1,0,0,5,2.5,3.05,2.35,53.6666666666667,7,2,1,1
20100224,56,22,1,1,0,1,1,0,0,5,3.9,2.21666666666667,1.86428571428571,40.6666666666667,4,2,1,1
20100225,33,-28,1,1,1,0,1,0,1,6,0,0.933333333333333,1.62142857142857,31.6666666666667,-13,3,1,1
20100226,6,-33,1,0,1,0,1,0,1,6,-1,0,2.02142857142857,24,-26,2,1,1
20100227,33,-17,1,0,0,1,1,0,1,4,1,0.65,2.41428571428571,27.6666666666667,-15,2,1,1
20100228,44,6,0,0,0,0,0,0,1,1,2.5,2.95,2.29285714285714,55.3333333333333,4,1,0,0
20100301,89,22,0,0,0,0,0,0,0,0,5.55,4.43333333333333,2.97142857142857,72,16.6666666666667,0,0,0
20100302,83,22,0,0,0,0,1,0,0,1,5.25,4.61666666666667,3.91428571428571,74,18.3333333333333,0,1,0
20100303,50,11,1,0,0,1,1,0,1,5,3.05,4.43333333333333,4.67142857142857,72,16.6666666666667,2,1,1
20100304,83,17,0,0,0,0,0,0,0,0,5,4.43333333333333,5.50714285714286,75.6666666666667,13,0,0,0
20100305,94,11,0,0,0,0,0,1,0,2,5.25,5.45,6.22142857142857,99.6666666666667,9.33333333333333,0,0,1
20100306,122,0,0,0,0,0,0,0,0,0,6.1,6.56666666666667,7.1,118.333333333333,13,0,0,0
20100307,139,28,0,0,0,0,0,0,0,0,8.35,8.33333333333333,8.13571428571429,140.666666666667,26,0,0,0
20100308,161,50,0,0,0,0,0,0,0,0,10.55,10.1,8.65714285714286,153.666666666667,48.3333333333333,0,0,0
20100309,161,67,0,0,0,0,0,0,0,0,11.4,10.75,8.62142857142857,153.666666666667,61.3333333333333,0,0,0
20100310,139,67,0,0,0,0,0,0,0,0,10.3,10.1166666666667,8.54285714285714,139,63.3333333333333,0,0,0
20100311,117,56,0,0,0,0,0,0,0,0,8.65,7.98333333333333,8.5,105.666666666667,54,0,0,0
20100312,61,39,1,1,0,1,1,1,0,5,5,6.4,7.90714285714286,85.3333333333333,42.6666666666667,2,1,2
20100313,78,33,1,1,0,1,1,0,0,4,5.55,6.2,7.86428571428571,79.6666666666667,44.3333333333333,2,1,1
20100314,100,61,1,1,0,1,1,1,0,5,8.05,6.66666666666667,8.17857142857143,85.3333333333333,48,2,1,2
20100315,78,50,1,1,0,1,1,1,0,6,6.4,8.51666666666667,9.12857142857143,116.666666666667,53.6666666666667,2,1,2
