date,IceFog,Snow,3HighAve,3LowAve
20100104,0,0,-2.6,-7.4
20100105,0,1,-0.4,-5.7
20100106,0,1,0.9,-3.7
20100107,0,0,1.5,-3.1
20100108,0,1,0.8,-4.6
20100109,0,0,-0.9,-7.6
20100110,0,0,-1.3,-8
20100111,0,0,-0.4,-6.8
20100112,0,0,0.9,-5
20100113,0,0,3,-3.3
20100114,0,0,5.767,-1.3
20100115,0,0,8.333,1.3
20100116,0,0,9.067,2.233
20100117,0,0,9.067,2.6
20100118,0,0,8.9,2.967
20100119,0,0,7.967,2.767
20100120,0,0,6.3,1.6
20100121,0,0,5.567,0.2
20100122,0,0,5.367,-0.9
20100123,0,0,7.033,-0.7
20100124,0,0,9.433,2.4
20100125,0,0,11.1,3.7
20100126,0,0,9.067,3.5
20100127,0,0,6.3,-1.867
20100128,1,1,1.5,-5.4
20100129,0,0,-2.033,-8.7
20100130,0,0,-4.3,-9.8
20100131,0,0,-2,-8.2
20100201,0,0,0.4,-5.6
20100202,0,1,2.067,-2.8
20100203,0,1,2.433,-2.2
20100204,0,0,2.967,-1.9
20100205,0,0,1.867,-3.5
20100206,0,1,1.3,-5.6
20100207,0,0,1.5,-6.7
20100208,0,0,3.167,-5.2
20100209,0,1,3.167,-2.8
20100210,1,1,3.167,-1.8
20100211,0,0,2.233,-2.2
20100212,0,0,1.867,-3.3
20100213,0,0,2.233,-3.3
20100214,0,0,2.767,-3.1
20100215,0,1,2.967,-2.2
20100216,0,1,2.233,-2.6
20100217,0,0,2.233,-1.7
20100218,0,0,4.067,-0.5
20100219,0,0,5.733,1.133
20100220,0,0,6.867,1.333
20100221,0,0,7.233,0.2
20100222,0,0,6.1,0.2
20100223,0,0,5.367,0.7
20100224,0,0,4.067,0.4
20100225,0,1,3.167,-1.3
20100226,1,1,2.4,-2.6
20100227,0,1,2.767,-1.5
20100228,0,1,5.533,0.4
20100301,0,0,7.2,1.667
20100302,0,0,7.4,1.833
20100303,0,1,7.2,1.667
20100304,0,0,7.567,1.3
20100305,0,0,9.967,0.933
