NO,Date,Year,Month,Day,Open,High,Low,Close,Volume,AdjClose,datetime,NYTempHigh,NYTempLow,BadWeather,
2,2015-07-24,2015,7,24,210.300003,210.369995,207.600006,207.940002,109271100,207.940002,7/24/15,30.600000,21.100000,0.000000,
3,2015-07-23,2015,7,23,211.529999,211.649994,209.75,210.139999,87846600,210.139999,7/23/15,30.000000,20.000000,0.000000,
4,2015-07-22,2015,7,22,210.929993,211.770004,210.889999,211.289993,84385700,211.289993,7/22/15,29.400000,20.600000,0.000000,
5,2015-07-21,2015,7,21,212.429993,212.740005,211.389999,211.759995,75035700,211.759995,7/21/15,31.700000,23.300000,0.000000,
6,2015-07-20,2015,7,20,212.75,213.179993,212.210007,212.619995,65523100,212.619995,7/20/15,34.400000,27.800000,0.000000,
7,2015-07-17,2015,7,17,212.289993,212.550003,211.800003,212.470001,85410300,212.470001,7/17/15,27.200000,19.400000,0.000000,
8,2015-07-16,2015,7,16,211.869995,212.300003,211.580002,212.270004,98172600,212.270004,7/16/15,26.700000,17.800000,0.000000,
9,2015-07-15,2015,7,15,210.729996,211.279999,210.039993,210.630005,93588200,210.630005,7/15/15,27.200000,22.200000,2.000000,
10,2015-07-14,2015,7,14,209.720001,211.050003,209.649994,210.720001,78370300,210.720001,7/14/15,27.800000,22.800000,2.000000,
11,2015-07-13,2015,7,13,208.990005,209.899994,208.940002,209.759995,103805000,209.759995,7/13/15,31.100000,22.800000,0.000000,
12,2015-07-10,2015,7,10,207.289993,207.979996,204.949997,207.479996,126039800,207.479996,7/10/15,28.900000,22.200000,1.000000,
13,2015-07-09,2015,7,9,207.039993,207.350006,204.770004,204.800003,139210600,204.800003,7/9/15,26.100000,20.000000,2.000000,
14,2015-07-08,2015,7,8,208.020004,208.020004,204.25,204.529999,159250700,204.529999,7/8/15,31.100000,25.000000,1.000000,
15,2015-07-07,2015,7,7,206.960007,208.169998,204.110001,208.009995,170938200,208.009995,7/7/15,31.100000,23.900000,2.000000,
16,2015-07-06,2015,7,6,205.770004,207.649994,205.529999,206.669998,113786000,206.669998,7/6/15,28.300000,22.200000,1.000000,
17,2015-07-02,2015,7,2,208.070007,208.270004,206.809998,207.320007,102616600,207.320007,7/2/15,26.700000,20.600000,0.000000,
18,2015-07-01,2015,7,1,207.729996,208.029999,206.559998,207.570007,129406500,207.570007,7/1/15,27.800000,20.600000,2.000000,
19,2015-06-30,2015,6,30,207.259995,207.320007,205.279999,205.889999,165457500,205.889999,6/30/15,27.800000,20.000000,1.000000,
20,2015-06-29,2015,6,29,208.050003,209.830002,205.330002,205.470001,188111300,205.470001,6/29/15,24.400000,17.200000,0.000000,
21,2015-06-26,2015,6,26,210.289993,210.580002,209.160004,209.899994,104174800,209.899994,6/26/15,27.200000,20.600000,0.000000,
22,2015-06-25,2015,6,25,211.100006,211.25,209.770004,209.830002,97107400,209.830002,6/25/15,28.300000,18.300000,0.000000,
23,2015-06-24,2015,6,24,211.720001,212.169998,210.470001,210.509995,92307300,210.509995,6/24/15,28.900000,20.000000,0.000000,
24,2015-06-23,2015,6,23,212.139999,212.440002,211.570007,212.050003,68476800,212.050003,6/23/15,32.200000,23.900000,0.000000,
25,2015-06-22,2015,6,22,211.910004,212.589996,211.639999,211.889999,70696000,211.889999,6/22/15,30.600000,21.100000,0.000000,
26,2015-06-19,2015,6,19,211.460007,211.550003,210.360001,210.809998,130478700,210.809998,6/19/15,30.600000,20.000000,0.000000,
27,2015-06-18,2015,6,18,211.309998,213.339996,210.630005,212.710007,165867900,211.680005,6/18/15,21.700000,17.800000,0.000000,
28,2015-06-17,2015,6,17,210.589996,211.320007,209.360001,210.589996,126708600,209.57026,6/17/15,27.800000,18.900000,1.000000,
29,2015-06-16,2015,6,16,208.929993,210.350006,208.720001,210.25,85308200,209.23191,6/16/15,26.100000,18.300000,2.000000,
30,2015-06-15,2015,6,15,208.639999,209.449997,207.789993,209.100006,124384200,208.087485,6/15/15,28.300000,17.800000,2.000000,
31,2015-06-12,2015,6,12,210.639999,211.479996,209.679993,209.929993,135382400,208.913453,6/12/15,31.100000,22.800000,1.000000,
32,2015-06-11,2015,6,11,211.479996,212.089996,211.199997,211.649994,73876400,210.625125,6/11/15,31.700000,22.200000,1.000000,
33,2015-06-10,2015,6,10,209.369995,211.410004,209.300003,210.960007,134551300,209.938479,6/10/15,27.800000,18.300000,0.000000,
34,2015-06-09,2015,6,9,208.449997,209.100006,207.690002,208.449997,105034700,207.440623,6/9/15,28.300000,20.000000,2.000000,
35,2015-06-08,2015,6,8,209.639999,209.820007,208.389999,208.419998,89063300,207.41077,6/8/15,26.100000,17.200000,1.000000,
36,2015-06-05,2015,6,5,209.949997,210.580002,208.979996,209.770004,121704700,208.754239,6/5/15,21.100000,12.800000,2.000000,
37,2015-06-04,2015,6,4,211.070007,211.860001,209.75,210.130005,151882800,209.112496,6/4/15,18.300000,12.200000,0.000000,
38,2015-06-03,2015,6,3,212,212.669998,211.330002,211.919998,87820900,210.893822,6/3/15,21.100000,11.100000,1.000000,
39,2015-06-02,2015,6,2,211.020004,212.190002,210.270004,211.360001,91531000,210.336536,6/2/15,12.800000,10.000000,1.000000,
40,2015-06-01,2015,6,1,211.940002,212.339996,210.619995,211.570007,93338800,210.545526,6/1/15,14.400000,10.600000,1.000000,
41,2015-05-29,2015,5,29,212.380005,212.429993,210.820007,211.139999,124919600,210.1176,5/29/15,29.400000,18.300000,0.000000,
42,2015-05-28,2015,5,28,212.330002,212.589996,211.630005,212.460007,74974600,211.431216,5/28/15,29.400000,21.100000,1.000000,
43,2015-05-27,2015,5,27,211.25,212.979996,210.759995,212.699997,93214000,211.670044,5/27/15,29.400000,21.100000,2.000000,
44,2015-05-26,2015,5,26,212.399994,212.910004,210.199997,210.699997,124308600,209.679728,5/26/15,31.100000,19.400000,0.000000,
45,2015-05-22,2015,5,22,213.039993,213.539993,212.910004,212.990005,57433500,211.958648,5/22/15,23.300000,12.800000,0.000000,
46,2015-05-21,2015,5,21,212.710007,213.75,212.509995,213.5,64764600,212.466173,5/21/15,16.700000,11.100000,0.000000,
47,2015-05-20,2015,5,20,213.149994,213.779999,212.5,212.880005,76857500,211.84918,5/20/15,19.400000,12.200000,0.000000,
48,2015-05-19,2015,5,19,213.240005,213.570007,212.690002,213.029999,72114600,211.998448,5/19/15,26.700000,15.000000,2.000000,
49,2015-05-18,2015,5,18,212.240005,213.399994,212.160004,213.100006,74549700,212.068116,5/18/15,23.900000,15.600000,2.000000,
50,2015-05-15,2015,5,15,212.440002,212.610001,211.860001,212.440002,76510100,211.411308,5/15/15,23.900000,12.800000,0.000000,
51,2015-05-14,2015,5,14,211.240005,212.320007,210.910004,212.210007,95934000,211.182426,5/14/15,22.800000,10.000000,0.000000,
52,2015-05-13,2015,5,13,210.470001,211.220001,209.740005,210.020004,94667900,209.003028,5/13/15,21.100000,11.700000,0.000000,
53,2015-05-12,2015,5,12,209.610001,210.630005,208.619995,209.979996,119727600,208.963214,5/12/15,30.000000,17.800000,2.000000,
54,2015-05-11,2015,5,11,211.570007,211.889999,210.520004,210.610001,75708100,209.590168,5/11/15,28.900000,21.100000,1.000000,
55,2015-05-08,2015,5,8,210.880005,211.860001,210.779999,211.619995,155877300,210.595272,5/8/15,27.800000,13.300000,2.000000,
56,2015-05-07,2015,5,7,207.919998,209.380005,207.520004,208.869995,88244900,207.858588,5/7/15,26.700000,13.300000,1.000000,
57,2015-05-06,2015,5,6,209.559998,209.929993,206.759995,208.039993,135060200,207.032605,5/6/15,22.800000,15.000000,0.000000,
58,2015-05-05,2015,5,5,211.029999,211.460007,208.729996,208.899994,113326200,207.888441,5/5/15,29.400000,18.900000,0.000000,
59,2015-05-04,2015,5,4,211.229996,212.020004,211.100006,211.320007,70927200,210.296736,5/4/15,29.400000,13.900000,0.000000,
60,2015-05-01,2015,5,1,209.399994,210.770004,209.279999,210.720001,103399700,209.699636,5/1/15,17.200000,9.400000,0.000000,
61,2015-04-30,2015,4,30,209.880005,210.350006,207.619995,208.460007,161304900,207.450585,4/30/15,19.400000,8.900000,0.000000,
62,2015-04-29,2015,4,29,211.440002,211.440002,209.600006,210.570007,125684900,209.550368,4/29/15,25.600000,10.000000,0.000000,
63,2015-04-28,2015,4,28,210.740005,211.5,209.330002,211.440002,86863500,210.41615,4/28/15,21.700000,10.000000,0.000000,
64,2015-04-27,2015,4,27,212.330002,212.479996,210.539993,210.770004,79358100,209.749397,4/27/15,16.700000,9.400000,0.000000,
65,2015-04-24,2015,4,24,211.660004,211.970001,211.110001,211.649994,61327400,210.625125,4/24/15,11.100000,3.900000,0.000000,
66,2015-04-23,2015,4,23,210.149994,211.940002,210.009995,211.160004,102585900,210.137508,4/23/15,11.100000,5.000000,0.000000,
67,2015-04-22,2015,4,22,210.009995,210.850006,208.899994,210.630005,78264600,209.610075,4/22/15,20.600000,8.900000,0.000000,
68,2015-04-21,2015,4,21,209.850006,210.860001,209.240005,209.600006,72559800,208.585064,4/21/15,18.300000,11.100000,1.000000,
69,2015-04-20,2015,4,20,209.059998,210.25,208.960007,209.850006,92189500,208.833853,4/20/15,13.900000,7.800000,1.000000,
70,2015-04-17,2015,4,17,208.940002,209.229996,207.009995,207.949997,191113200,206.943045,4/17/15,21.700000,12.800000,0.000000,
71,2015-04-16,2015,4,16,210.029999,210.979996,209.789993,210.369995,68934900,209.351324,4/16/15,17.800000,11.100000,0.000000,
72,2015-04-15,2015,4,15,210.050003,211.039993,209.949997,210.429993,99529300,209.411031,4/15/15,22.200000,10.600000,0.000000,
73,2015-04-14,2015,4,14,208.850006,209.710007,208.100006,209.490005,75099900,208.475596,4/14/15,18.300000,12.800000,0.000000,
