date,7DayAverage,3HighAve,3LowAve,Cold,Rain,FogMist
20100104,-2.33571428571429,-26,-74,0,0,0
20100105,-3,-4,-57,1,0,0
20100106,-3,9,-37,1,1,0
20100107,-3,15,-31,0,0,0
20100108,-3,8,-46,2,1,2
20100109,-3,-9,-76,0,0,0
20100110,-3,-13,-80,0,0,0
20100111,-2,-4,-68,0,0,0
20100112,-1.21428571428571,9,-50,0,0,0
20100113,0.328571428571428,30,-33,0,0,0
20100114,1.87857142857143,57.6666666666667,-13,0,0,0
20100115,3.27142857142857,83.3333333333333,13,0,0,0
20100116,4.41428571428571,90.6666666666667,22.3333333333333,0,0,0
20100117,5.04285714285714,90.6666666666667,26,2,1,1
20100118,5.03571428571429,89,29.6666666666667,1,1,1
20100119,4.67857142857143,79.6666666666667,27.6666666666667,0,1,1
20100120,3.92857142857143,63,16,0,0,0
20100121,3.96428571428571,55.6666666666667,2,0,0,0
20100122,4.71428571428571,53.6666666666667,-9,0,0,0
20100123,4.55714285714286,70.3333333333333,-7,0,0,0
20100124,4.35714285714286,94.3333333333333,24,1,1,2
20100125,3.96428571428571,111,37,2,1,2
20100126,2.49285714285714,90.6666666666667,35,1,1,0
20100127,1.1,63,-18.6666666666667,0,0,0
20100128,-0.407142857142857,15,-54,2,1,1
20100129,-2.22857142857143,-20.3333333333333,-87,0,0,0
20100130,-3,-43,-98,0,0,0
20100131,-3,-20,-82,0,0,0
20100201,-3,4,-56,0,0,0
20100202,-2,20.6666666666667,-28,2,1,2
20100203,-1,24.3333333333333,-22,2,1,2
20100204,-1,29.6666666666667,-19,0,0,0
20100205,-1,18.6666666666667,-35,0,0,0
20100206,-1,13,-56,1,1,1
20100207,-1,15,-67,0,0,0
20100208,-1,31.6666666666667,-52,0,0,0
20100209,-1,31.6666666666667,-28,1,1,1
20100210,-1,31.6666666666667,-18,2,1,1
20100211,0,22.3333333333333,-22,0,0,0
20100212,0,18.6666666666667,-33,0,0,0
20100213,0,22.3333333333333,-33,0,0,0
20100214,0,27.6666666666667,-31,0,0,0
20100215,0.00714285714285712,29.6666666666667,-22,2,1,2
20100216,0.6,22.3333333333333,-26,2,1,3
20100217,1.51428571428571,22.3333333333333,-17,0,0,0
20100218,1.99285714285714,40.6666666666667,-5,0,0,0
20100219,2.27142857142857,57.3333333333333,11.3333333333333,0,0,0
20100220,2.70714285714286,68.6666666666667,13.3333333333333,0,0,0
20100221,3.37857142857143,72.3333333333333,2,0,0,0
20100222,3.1,61,2,0,1,0
20100223,2.35,53.6666666666667,7,2,1,1
20100224,1.86428571428571,40.6666666666667,4,2,1,1
20100225,1.62142857142857,31.6666666666667,-13,3,1,1
20100226,2.02142857142857,24,-26,2,1,1
20100227,2.41428571428571,27.6666666666667,-15,2,1,1
20100228,2.29285714285714,55.3333333333333,4,1,0,0
20100301,2.97142857142857,72,16.6666666666667,0,0,0
20100302,3.91428571428571,74,18.3333333333333,0,1,0
20100303,4.67142857142857,72,16.6666666666667,2,1,1
20100304,5.50714285714286,75.6666666666667,13,0,0,0
20100305,6.22142857142857,99.6666666666667,9.33333333333333,0,0,1
20100306,7.1,118.333333333333,13,0,0,0
20100307,8.13571428571429,140.666666666667,26,0,0,0
