lowTemp,snow,IceFog_Snow_Count,weather
-7,0,0,Snow without IceFog
-5,0,1,IceFog without Snow
-3,0,1,IceFog without Snow
-3,0,0,Snow without IceFog
-4,0,1,IceFog without Snow
-7,0,0,Snow without IceFog
-8,0,0,Snow without IceFog
-6,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
3,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-5,1,1,Snow_and_IceFog
-8,0,0,Snow without IceFog
-9,0,0,Snow without IceFog
-8,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-2,0,1,IceFog without Snow
-2,0,1,IceFog without Snow
-1,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-5,0,1,IceFog without Snow
-6,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-2,0,1,IceFog without Snow
-1,1,1,Snow_and_IceFog
-2,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-2,0,1,IceFog without Snow
-2,0,1,IceFog without Snow
-1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-1,0,1,IceFog without Snow
-2,1,1,Snow_and_IceFog
-1,0,1,IceFog without Snow
0,0,1,IceFog without Snow
1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
1,0,1,IceFog without Snow
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
4,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
9,0,0,Snow without IceFog
